|   EBV|EBV_unc|    RV|RV_unc|                AV|              AV_unc|    C1|C1_unc|    C2|C2_unc|    C3|C3_unc|    C4|C4_unc|        x0|    x0_unc|     gamma| gamma_unc|
|double| double|double|double|            double|              double|double|double|double|double|double|double|double|double|    double|    double|    double|    double|
|   mag|    mag|      |      |               mag|                 mag|      |      |      |      |      |      |      |      |1 / micron|1 / micron|1 / micron|1 / micron|
|  null|   null|  null|  null|              null|                null|  null|  null|  null|  null|  null|  null|  null|  null|      null|      null|      null|      null|
   0.44    0.01   2.67   0.15             1.1748  0.17661116585312492  -0.14    0.0   0.72   0.04   3.73   0.24    0.4   0.05      4.594      0.003       0.91       0.01 
   0.77    0.01   2.74   0.07 2.1098000000000003  0.14918538869473785   0.18   0.13   0.72   0.02   3.16   0.12   0.43   0.02      4.587      0.002       0.89       0.02 
   0.55    0.01   2.83   0.09 1.5565000000000002   0.1409470696751089  -0.21   0.27   0.82   0.05   2.82   0.14   0.37   0.02      4.625      0.005       1.08       0.03 
   0.31    0.02   2.87   0.17             0.8897    0.152292108912445   1.82   0.47   0.28   0.11   2.91   0.21   0.52   0.13      4.598      0.005       0.91       0.02 
   0.29    0.01   3.14   0.22             0.9106  0.20053884775773495  -0.02   0.28   0.69   0.06   5.25    0.6   0.48   0.03      4.662      0.014        1.3       0.07 
   0.89    0.01   3.14   0.06             2.7946  0.16998888167171405   0.58   0.11   0.61   0.02   4.12   0.14   0.36   0.01      4.574      0.003       1.08       0.02 
   0.36    0.01    3.2   0.17              1.152  0.19617853093547213   1.33   0.39   0.51    0.1   4.11   0.55   0.61   0.05      4.544      0.014       1.34       0.07 
   0.75    0.01   2.87   0.06             2.1525  0.13093146346466916  -0.87   0.11   1.06   0.03   2.89   0.07    0.4   0.02      4.589      0.002       0.89       0.01 
   0.58    0.01   2.67   0.09 1.5485999999999998    0.140231694249196  -0.78    0.0   0.93   0.04   3.45   0.16   0.35   0.03      4.589      0.003       0.91       0.01 
   0.69    0.01   3.03   0.08 2.0906999999999996  0.16855762274367775  -0.68   0.12    1.0   0.03   3.05   0.15    0.4   0.03      4.574      0.004       0.88       0.03 
